epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,1920.37,0.5368,0.50633,0.98076,0.69447,0.58427,0.63794,0.45684,1.07984,1.11403,1.4278,0.000486656,0.000486656,0.000486656
23,2007.66,0.53214,0.49894,0.97772,0.72743,0.5816,0.64855,0.46134,1.02999,1.12327,1.31142,0.000485368,0.000485368,0.000485368
24,2095.06,0.52719,0.49218,0.97501,0.74273,0.55977,0.6457,0.47124,1.01127,1.16178,1.30314,0.000484022,0.000484022,0.000484022
25,2182.27,0.52105,0.49142,0.97458,0.71745,0.5874,0.65364,0.47875,1.00791,1.09875,1.29757,0.00048262,0.00048262,0.00048262
26,2269.58,0.51433,0.48093,0.96996,0.71543,0.60094,0.66287,0.47816,0.99253,1.02275,1.28066,0.00048116,0.00048116,0.00048116
27,2357.25,0.50865,0.47746,0.96781,0.73433,0.58919,0.65893,0.47373,0.9972,1.1117,1.28885,0.000479644,0.000479644,0.000479644
28,2444.66,0.50495,0.47318,0.96498,0.72643,0.60076,0.67817,0.49263,0.97238,1.01686,1.25951,0.000478072,0.000478072,0.000478072
29,2531.92,0.50052,0.46848,0.96355,0.75792,0.61085,0.69146,0.50459,0.97426,1.07943,1.25572,0.000476445,0.000476445,0.000476445
30,2619.24,0.49241,0.46234,0.95952,0.71396,0.61237,0.67741,0.49188,0.97125,1.0524,1.25995,0.000474762,0.000474762,0.000474762
31,2706.23,0.48964,0.45851,0.95806,0.75355,0.59229,0.67467,0.49617,1.02885,1.09177,1.36715,0.000473024,0.000473024,0.000473024
32,2793.34,0.48546,0.45367,0.95766,0.7479,0.61363,0.68822,0.5005,1.02871,1.0137,1.34369,0.000471232,0.000471232,0.000471232
33,2880.3,0.48195,0.44908,0.95478,0.75531,0.61699,0.69502,0.50994,1.03379,1.05121,1.35949,0.000469386,0.000469386,0.000469386
34,2967.82,0.47923,0.44815,0.95346,0.73906,0.63123,0.70077,0.51549,1.00355,1.06638,1.29885,0.000467486,0.000467486,0.000467486
35,3055.19,0.472,0.44048,0.95115,0.72856,0.63464,0.69313,0.5153,0.98059,0.9675,1.27475,0.000465534,0.000465534,0.000465534
36,3142.41,0.47125,0.43931,0.94912,0.74501,0.63418,0.7028,0.5229,0.93719,0.94794,1.2318,0.000463528,0.000463528,0.000463528
37,3229.91,0.46358,0.43296,0.94691,0.75277,0.63508,0.70976,0.52775,0.96914,0.95893,1.25146,0.000461471,0.000461471,0.000461471
38,3317.44,0.46345,0.43061,0.94581,0.76223,0.6354,0.70844,0.52759,0.95536,0.95774,1.24267,0.000459362,0.000459362,0.000459362
39,3404.56,0.45839,0.42251,0.94287,0.73542,0.65577,0.70983,0.52836,0.94003,0.99377,1.23907,0.000457202,0.000457202,0.000457202
40,3492.21,0.45808,0.42488,0.94337,0.77455,0.6439,0.72262,0.53607,0.96356,0.94179,1.24925,0.000454992,0.000454992,0.000454992
41,3579.84,0.45395,0.41994,0.94285,0.7658,0.65305,0.7205,0.53702,0.9424,0.92823,1.23306,0.000452732,0.000452732,0.000452732
42,3667.5,0.44979,0.41475,0.94142,0.76537,0.65398,0.7235,0.53894,0.9257,0.90991,1.21835,0.000450422,0.000450422,0.000450422
43,3755.09,0.44918,0.41556,0.94119,0.7772,0.64459,0.7227,0.54178,0.93105,0.88829,1.21909,0.000448063,0.000448063,0.000448063
44,3842.74,0.44479,0.41029,0.93973,0.7688,0.65212,0.72147,0.54012,0.92536,0.90031,1.21458,0.000445657,0.000445657,0.000445657
